Trainning ...
Done traning
error = 2.5539626716128755E-5
error = 2.5500679903906684E-5
error = 2.546184798355155E-5
error = 2.5423130452756596E-5
error = 2.5384526812128165E-5
error = 2.5346036565160636E-5
error = 2.530765921821808E-5
error = 2.526939428051133E-5
error = 2.5231241264078244E-5
error = 2.5193199683767694E-5
error = 2.5155269057209233E-5
error = 2.511744890480587E-5
error = 2.507973874970558E-5
error = 2.504213811778267E-5
error = 2.500464653762124E-5
error = 2.4967263540495677E-5
error = 2.49299886603487E-5
error = 2.4892821433775297E-5
error = 2.485576140000111E-5
error = 2.4818808100867772E-5
error = 2.4781961080809173E-5
error = 2.474521988683948E-5
error = 2.470858406852934E-5
error = 2.4672053177989857E-5
error = 2.4635626769856018E-5
error = 2.459930440126893E-5
error = 2.4563085631855117E-5
error = 2.4526970023712195E-5
error = 2.4490957141393118E-5
error = 2.4455046551882346E-5
error = 2.4419237824586618E-5
error = 2.4383530531314037E-5
error = 2.4347924246257103E-5
error = 2.431241854597837E-5
error = 2.4277013009391244E-5
error = 2.4241707217746907E-5
error = 2.4206500754616604E-5
error = 2.4171393205873673E-5
error = 2.413638415968109E-5
error = 2.4101473206474377E-5
error = 2.4066659938944403E-5
error = 2.4031943952025633E-5
error = 2.39973248428761E-5
error = 2.396280221086522E-5
error = 2.3928375657558732E-5
error = 2.3894044786703448E-5
error = 2.3859809204207927E-5
error = 2.3825668518138958E-5
error = 2.3791622338692993E-5
error = 2.3757670278190888E-5
error = 2.3723811951060514E-5
error = 2.3690046973824006E-5
error = 2.3656374965081596E-5
error = 2.3622795545498915E-5
error = 2.3589308337793327E-5
error = 2.3555912966717763E-5
error = 2.352260905905075E-5
error = 2.3489396243578942E-5
error = 2.3456274151085118E-5
error = 2.3423242414337677E-5
error = 2.3390300668073817E-5
error = 2.335744854898836E-5
error = 2.3324685695715634E-5
error = 2.3292011748825728E-5
error = 2.3259426350804757E-5
error = 2.322692914604309E-5
error = 2.3194519780824297E-5
error = 2.316219790331259E-5
error = 2.3129963163538416E-5
error = 2.3097815213386917E-5
error = 2.3065753706588254E-5
error = 2.3033778298701892E-5
error = 2.3001888647105356E-5
error = 2.297008441098588E-5
error = 2.293836525132139E-5
error = 2.29067308308765E-5
error = 2.287518081418405E-5
error = 2.2843714867540876E-5
error = 2.2812332658987915E-5
error = 2.2781033858304822E-5
error = 2.2749818136997106E-5
error = 2.2718685168284934E-5
error = 2.268763462708977E-5
error = 2.265666619002839E-5
error = 2.262577953539578E-5
error = 2.259497434315919E-5
error = 2.2564250294944282E-5
error = 2.2533607074026525E-5
error = 2.2503044365318247E-5
error = 2.2472561855361015E-5
error = 2.2442159232312756E-5
error = 2.2411836185936623E-5
error = 2.2381592407594454E-5
error = 2.235142759023432E-5
error = 2.2321341428379288E-5
error = 2.2291333618118537E-5
error = 2.226140385709689E-5
error = 2.2231551844506687E-5
error = 2.220177728107414E-5
error = 2.217207986905548E-5
error = 2.2142459312220598E-5
error = 2.2112915315846816E-5
error = 2.2083447586711128E-5
error = 2.205405583307628E-5
error = 2.202473976468551E-5
error = 2.1995499092749976E-5
error = 2.1966333529942467E-5
error = 2.193724279038569E-5
error = 2.190822658964299E-5
error = 2.187928464471345E-5
error = 2.1850416674017842E-5
error = 2.1821622397391983E-5
error = 2.1792901536078237E-5
error = 2.176425381271544E-5
error = 2.173567895133075E-5
error = 2.1707176677332673E-5
error = 2.1678746717500697E-5
error = 2.1650388799974276E-5
error = 2.162210265425035E-5
error = 2.1593888011170156E-5
error = 2.1565744602912556E-5
error = 2.1537672162985452E-5
error = 2.1509670426218932E-5
error = 2.1481739128755264E-5
error = 2.1453878008040238E-5
error = 2.1426086802818617E-5
error = 2.1398365253121667E-5
error = 2.137071310026379E-5
error = 2.1343130086829762E-5
error = 2.1315615956671615E-5
error = 2.1288170454897982E-5
error = 2.1260793327867056E-5
error = 2.1233484323180317E-5
error = 2.1206243189672718E-5
